"filename", "language", "HTML", "JSON", "SCSS", "JavaScript", "JSON with Comments", "YAML", "vue", "Markdown", "CSS", "comment", "blank", "total"
"f:\Projects\okx-uni\.hbuilderx\launch.json", "JSON with Comments", 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 1, 28
"f:\Projects\okx-uni\.vite\deps\_metadata.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"f:\Projects\okx-uni\.vite\deps\dayjs.js", "JavaScript", 0, 0, 0, 297, 0, 0, 0, 0, 0, 2, 2, 301
"f:\Projects\okx-uni\.vite\deps\package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\Projects\okx-uni\App.vue", "vue", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"f:\Projects\okx-uni\constants\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 6
"f:\Projects\okx-uni\hooks\storage.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"f:\Projects\okx-uni\index.html", "HTML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 21
"f:\Projects\okx-uni\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 9
"f:\Projects\okx-uni\main.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 2, 22
"f:\Projects\okx-uni\manifest.json", "JSON", 0, 64, 0, 0, 0, 0, 0, 0, 0, 8, 1, 73
"f:\Projects\okx-uni\package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"f:\Projects\okx-uni\pages.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"f:\Projects\okx-uni\pages\index\hooks.js", "JavaScript", 0, 0, 0, 102, 0, 0, 0, 0, 0, 20, 32, 154
"f:\Projects\okx-uni\pages\index\index.vue", "vue", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 36, 189
"f:\Projects\okx-uni\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
